id,candidate,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,name,retweet_count,text,user_timezone,,,,,,,,,,,,,,tweet_created
956,Chris Christie,yes,1,Negative,1,Religion,damongtaylor,578,"RT @pattonoswalt: ""My God is named 'Bruce Springsteen'. Go listen to 'Jungleland' and get a fucking clue,"" -- Christie. #GOPDebate","Chicago, IL",Central Time (US & Canada),,,,,,,,,,,,,8/20/2017 9:54
957,Donald Trump,yes,1,Neutral,0.693,FOX News or Moderators,DanMudd,0,I saw @megynkelly reach down and scratch her balls once after she picked about her 10th fight with @realDonaldTrump #GOPDebate #tcot,"Nashville, TN",Central Time (US & Canada),,,,,,,,,,,,,8/21/2017 9:54
958,No candidate mentioned,yes,1,Negative,0.3548,None of the above,NanaOxford,66,RT @ThePatriot143: My winner overall of today's #GOPDebate 's is @CarlyFiorina She really stood out among ALL GOP Candidates,"Arkansas, USA",,,,,,,,,,,,,,8/22/2017 9:54
959,No candidate mentioned,yes,0.6532,Negative,0.6532,Gun Control,LAWriter,0,Republicans Hate Gun-Free Zones But Held #GOPDebate In Gun-Free Zone  https://t.co/0rlAyowQW1,"Los Angeles, CA",Pacific Time (US & Canada),,,,,,,,,,,,,8/23/2017 9:54
960,No candidate mentioned,yes,0.6484,Neutral,0.6484,,nopenochange,539,"RT @peddoc63: If Your embassy was attacked, which Woman would You trust?
RT for @CarlyFiorina 
Fav for @HillaryClinton  #GOPDebate http://t๏ฟฝ",3rd world city near you,,,,,,,,,,,,,,8/24/2017 9:54
961,No candidate mentioned,yes,1,Negative,1,None of the above,tom_racine,0,RT @lizadonnelly: Political nonsense last night. #GOPdebate (See all on my http://t.co/MOcgZtHBdZ site.)๏ฟฝ๏ฟฝ๏ฟฝ https://t.co/xyaH,,Pacific Time (US & Canada),,,,,,,,,,,,,8/25/2017 9:54
962,Donald Trump,yes,1,Negative,1,None of the above,mch7576,2,RT ๏ฟฝ๏ฟฝ๏ฟฝ@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu,USA ,,,,,,,,,,,,,,8/26/2017 9:54
963,Donald Trump,yes,1,Negative,0.7056,None of the above,645ciDIVA,0,"You must admit, @realDonaldTrump throws #shade like #RHOA LOL! ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ #GOPDebate ",SomeWhereSmiling ,,,,,,,,,,,,,,8/27/2021 9:54
964,No candidate mentioned,yes,1,Positive,0.7033,None of the above,KropotkinsTweet,0,"So looking forward to listening to @DRShow's news roundup this morning! 
""You couldn't look away"" #GOPDebate 
http://t.co/o8rTITVGdt","Tempe, AZ",,,,,,,,,,,,,,8/27/2021 9:55
965,Donald Trump,yes,1,Neutral,0.3657,FOX News or Moderators,lovetheusaorlea,10,"RT @MolonLabe1776us: This is how last night should have looked...
@megynkelly @BretBaier #GOPDebate #TCOT @realDonaldTrump http://t.co/K2TK๏ฟฝ",USA,America/New_York,,,,,,,,,,,,,8/27/2021 9:56
966,No candidate mentioned,yes,1,Neutral,0.6553,None of the above,mralphafreak,0,I don't know if I should laugh or cry after last nights #GOPDebate.,Alternate Reality,Pacific Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:57
967,Donald Trump,yes,1,Negative,1,None of the above,sher_nolen,1,"RT @pillary56: There's a difference between not being politically correct and being a massive jerk, Mr. Trump #GOPDebate","Tulsa, Oklahoma, United States",Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:58
968,John Kasich,yes,1,Negative,1,None of the above,ryanearldobbs,0,My thoughts: Perry and Fiorina must replace Paul and Kasich in the top ten. Jindal needs to step it up and replace Christie. #GOPDebate,"Southlake, TX / Chesapeake, VA",Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:59
969,Marco Rubio,yes,1,Positive,0.6753,None of the above,BLUSHINGMERMAlD,842,"RT @marcorubio: If I'm our nominee, we'll be the party of the future. #GOPDebate",,,,,,,,,,,,,,,8/27/2021 9:60
970,Ted Cruz,yes,0.643,Positive,0.643,Immigration,catchcaleb,0,"@SenTedCruz had best answer of night in response to immigration. Its not stupidity, it is how both sides want it.  #GOPDebate","California, USA",,,,,,,,,,,,,,8/27/2021 9:61
971,No candidate mentioned,yes,0.6227,Neutral,0.332,None of the above,rose_lundsberg,80,RT @TheBloggess: Rather than watching the #GOPDebate I'm just watching @maureenjohnson live-tweet it.  I've made the right decision. https:๏ฟฝ,in the crowd,,,,,,,,,,,,,,8/27/2021 9:62
972,Marco Rubio,yes,1,Positive,1,None of the above,RekLeCounte,0,Interesting #GOPDebate analysis. @marcorubio clearly excelled as conservative leader we need. Go @TeamMarco! #tcot https://t.co/pve8wuodke,Virginia,Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:63
973,Donald Trump,yes,1,Negative,1,None of the above,thwatch,0,@krauthammer Sorry the downfall of Trump in last nights debate is greatly exaggerated #GOPDebate,new york,Atlantic Time (Canada),,,,,,,,,,,,,8/27/2021 9:64
974,Scott Walker,yes,1,Negative,0.6818,Foreign Policy,Clever_Otter,0,"Moderator: ""@ScottWalker,when you 'rip up the Iran deal on day 1',what then?"" Walker: ""I remember tying yellow ribbons on trees."" #GOPDebate",Earth,Mountain Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:65
975,No candidate mentioned,yes,1,Negative,0.6771,Religion,LelaV89,2,"RT @CCalbos: ""Tell us how god speaks to you.."" What is happening? Is this real life?  #GOPDebate","��T: 41.39073,-73.96695",Quito,,,,,,,,,,,,,8/27/2021 9:66
976,No candidate mentioned,yes,1,Negative,1,None of the above,Shelleyalee,73,"RT @GusRamsey: SNL doesn't have a big enough cast to spoof this. 
#GOPDebate",Atlanta,Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:67
977,No candidate mentioned,yes,0.6704,Neutral,0.6704,Racial issues,STERLINGMHOLMES,0,"BBCWorld: RT BBCJonSopel: In midst of #GOPDebate came big blow to BarackObama with announcement that leading Jewish Democrat, Sen. Schumer,๏ฟฝ",EARTH ,Pacific Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:68
978,Mike Huckabee,yes,1,Negative,0.6951,None of the above,LelaV89,2,"RT @CCalbos: Huckabee: ""the military is to kill people and break things."" On behalf of military families...F you. #GOPDebate","��T: 41.39073,-73.96695",Quito,,,,,,,,,,,,,8/27/2021 9:69
979,No candidate mentioned,yes,0.6778,Neutral,0.3444,None of the above,dddreamcat,18,RT @PerezHilton: While you were watching the #GOPDebate @HillaryClinton was taking selfies with @KimKardashian! http://t.co/hYTSDeMr64 http๏ฟฝ,Oregon,Pacific Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:70
980,Ben Carson,yes,1,Neutral,0.6687,None of the above,rusty_schroeder,418,RT @RealBenCarson: My Pre #GOPDebate 'ritual'. #BC2DC16  https://t.co/agbMc4nBM5,"Texas, USA----NATIVE",Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:71
981,Donald Trump,yes,0.6653,Negative,0.6653,Jobs and Economy,Sleevetalkshow,0,"@realDonaldTrump's arrogance at the #GOPDebate: ""I๏ฟฝ๏ฟฝ๏ฟฝve used the laws of the country to my adva"" #NotThatGuy http://t.co/Rjtjr9iOAC",Anywhere & Everywhere!,Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:72
982,Ted Cruz,yes,1,Neutral,0.6848,None of the above,brendanIllis,0,18 hours later looking back: My biggest gaffe of the #GOPDebate was repeatedly tagging Victor Cruz (@TeamVic) instead of Ted Cruz (@tedcruz),Center Valley PA,Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:73
983,No candidate mentioned,yes,1,Negative,1,Abortion,alabamafan2,0,It's real scary that liberals are allowed 2 walk around after committing horrific crimes against humanity. #GOPDebate  #PlannedButcherhood,Georgia,Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:74
984,Donald Trump,yes,0.642,Negative,0.642,None of the above,RickyAppleseed,0,"I'd like to thank the other 9 candidates at the #GOPDebate who took Trump to task for once again trying to #FatShame @Rosie. But, I can't...",Cheektowaga NY USA ,,,,,,,,,,,,,,8/27/2021 9:75
985,No candidate mentioned,yes,1,Positive,0.7111,FOX News or Moderators,AnthonySeees,0,Gotta love @megynkelly #GOPDebate,,,,,,,,,,,,,,,8/27/2021 9:76
986,Donald Trump,yes,1,Neutral,0.3493,Foreign Policy,SamValley,59,RT @NumbersMuncher: Donald Trump is the guy who flips the Risk board over once he realizes he can't overtake Asia. #GOPDebate, San Fernando Valley,Pacific Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:77
987,No candidate mentioned,yes,1,Negative,0.6915,None of the above,JPC_III,0,@brendohare great battle last night by premier teenage athletes. #GOPDebate http://t.co/pLGp4Aai2y,,,,,,,,,,,,,,,8/27/2021 9:78
988,No candidate mentioned,yes,1,Negative,0.67,FOX News or Moderators,NYMediaCritic,0,.@FoxNews should replace @megynkelly with @marthamaccallum in future debates. MacCallum did a MUCH better job in early debate. #GOPDebate,,,,,,,,,,,,,,,8/27/2021 9:79
989,Donald Trump,yes,1,Negative,1,None of the above,brianjhanley,0,"Donald Trump, Democratic Spy? http://t.co/8N9MvTKN4u @realDonaldTrump @SenSanders #trump #DonaldTrump #Hillary2016 #GOPDebate",,,,,,,,,,,,,,,8/27/2021 9:80
990,No candidate mentioned,yes,0.6589,Positive,0.3391,,catchinawave13,1,RT @jjosephwilliams: 16% of United States homes with TV sets tuned in to #GOPDebate. Wow. http://t.co/TRs8vMWJYg,"Nashville, Tennessee",Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:81
991,No candidate mentioned,yes,1,Negative,1,None of the above,FashnDiva,0,#GOPDebate or Old White Rich Conservative Dudes on Parade. That's a childhood nightmare of mine.,"Small Town, Ohio",Quito,,,,,,,,,,,,,8/27/2021 9:82
992,Donald Trump,yes,1,Positive,0.6542,None of the above,SteelersNasty,0,.@ljcambria @realDonaldTrump Don't forget to vote for him! Especislly when he has to go Independent! #LULZ  #HUCKSTER #RNC #GOP #GOPDebate,"IN YOUR HEAD, MOM'S BASEMENT ",,,,,,,,,,,,,,8/27/2021 9:83
993,No candidate mentioned,yes,1,Negative,0.7065,Women's Issues (not abortion though),flammi,0,Recap of the #GOPdebate: these #TenMen want to make choices for all women. #GOPtbt http://t.co/v1desifyee,"New York, NY",Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:84
994,Donald Trump,yes,1,Negative,0.6629,None of the above,Khaki62,489,"RT @Writeintrump: I not only made Hillary Clinton go to my wedding, but I also made her be my Best Man.  #GOPDebate",,Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:85
995,Rand Paul,yes,1,Negative,1,None of the above,Norsu2,2,"Rand Paul could drop out of top 10 w dreadful, petulent debate. Fiorina moves up #gopdebate #tcot",Metro Boston #Cmass,,,,,,,,,,,,,,8/27/2021 9:86
996,No candidate mentioned,yes,1,Negative,0.3685,None of the above,MagicMeeple,621,"RT @nerdist: I gotta say it's refreshing to hear a presidential debate where everyone is correctly pronouncing ""nuclear"" #GOPDebate","Phoenix, AZ, USA",Pacific Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:87
997,No candidate mentioned,yes,0.6556,Negative,0.3444,None of the above,DiplomatEsq,8,RT @GogoAleee: IG Deleted DD Account after we participated in the #KKKorGOP hashtag during the #GOPDebate http://t.co/jNYRNOPngx via @Dream๏ฟฝ,,Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:88
998,No candidate mentioned,yes,1,Negative,1,None of the above,Jordan_p34,5,RT @CrazyClarine: lol! RT @The3o5FlyGuy: Watching the #GOPDebate like... http://t.co/zOwJcU2baZ,,,,,,,,,,,,,,,8/27/2021 9:89
999,No candidate mentioned,yes,0.7039,Negative,0.7039,None of the above,CurlyJefff,107,RT @sjadetx: My thoughts on the #GOPDebate http://t.co/BT7glNYUoN,540,Atlantic Time (Canada),,,,,,,,,,,,,8/27/2021 9:90
1000,Donald Trump,yes,1,Negative,1,FOX News or Moderators,Shirleystopirs,1,RT @FreedomTexasMom: My LOVE for @megynkelly died tonight at the #GOPDebate #FoxNews #TrumpCruz2016 #MakeAmericaGreatAgain,,Atlantic Time (Canada),,,,,,,,,,,,,8/27/2021 9:91
1001,Mike Huckabee,yes,1,Positive,1,None of the above,georgehenryw,0,"Executive Experience Matters

#gopdebate #ccot #gop #teaparty #imwithhuck #tcot #th2016 #RenewUS #wakeupamerica https://t.co/uCA5oguT29",Texas,Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:92
1002,Donald Trump,yes,1,Negative,1,None of the above,iAintBragging,0,Does Trump not realize he's a complete joke or?? I feel as though he would have caught onto that by now #GOPDebate,probs rehearsal ,Pacific Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:93
1003,Donald Trump,yes,0.6705,Positive,0.3409,None of the above,dcpayne42,0,"@realDonaldTrump to primary voters: ""Your chances look good for the general election. It'd be a shame if something happened..."" #GOPDebate","Indiana, USA",Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:94
1004,No candidate mentioned,yes,1,Negative,1,Religion,NoDogma13,0,"""ISIS! Islamic extremism!""
Did I doze off when they spoke of the right wing Christian extremism that is plaguing our country?
#GOPDebate",Reality-based world,Pacific Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:95
1005,Marco Rubio,yes,1,Positive,1,Immigration,Conservatveone,18,RT @RickCanton: #TeamMarco - understands immigration better than anyone on stage. #GOPDebate http://t.co/ivvfCxpnN7,,,,,,,,,,,,,,,8/27/2021 9:96
1006,Jeb Bush,yes,1,Positive,0.3488,None of the above,LA_theGirl,0,"In honor of last night's #GOPDebate, I'd like to add an exclamation point to the end of my name, and maybe get it put on Jeb! vanity plate.","Grand Rapids, MI",Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:97
1007,Jeb Bush,yes,0.6393,Negative,0.6393,None of the above,hriefs,0,"""How do you earn a Jeb? And how is Jeb going to earn this nomination?"" @tnyCloseRead http://t.co/BKOWYl34ft #GOPDebate",Chicago,Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:98
1008,Donald Trump,yes,1,Neutral,0.6882,None of the above,absabella,279,"RT @seanhannity: .@realDonaldTrump: ๏ฟฝ๏ฟฝ๏ฟฝWe need a leader at the top that๏ฟฝ๏ฟฝ๏ฟฝs going to not worry so much about tone, that๏ฟฝ๏ฟฝ๏ฟฝs going ",New York,Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:99
1009,Donald Trump,yes,1,Negative,0.6792,None of the above,MSchmidtRTD,1,"Va. GOP leaders praise debate performances. Trump's, not so much. http://t.co/Ul5pgAq4UH #Election2016 #GOPDebate","Richmond, VA",Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:100
1010,Ben Carson,yes,0.6629,Positive,0.6629,Racial issues,goboykin,44,"RT @DraftRunBenRun: ""We are the United States of America, not the Divided States of America."" -@RealBenCarson #GOPDebate http://t.co/riTsRZ๏ฟฝ",Columbia SC  greatest city,,,,,,,,,,,,,,8/27/2021 9:101
1011,Ben Carson,yes,0.6272,Negative,0.3276,None of the above,Spkr_4TheDead,0,Ben Carson identifying the left's use of Alinsky tactics? Masterful. #GOPDebate,At the enemy's gate,Pacific Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:102
1012,Mike Huckabee,yes,1,Negative,1,None of the above,UdnSpeak4me,48,RT @lizzwinstead: Mike Huckabee. You are broken. #GOPDebate,"California, USA",Tijuana,,,,,,,,,,,,,8/27/2021 9:103
1013,Donald Trump,yes,1,Negative,1,None of the above,Flame__on,4,"RT @coleasschneider: FYI, the real terror is Donald Trump's hair. #GOPDebate",Michigan,Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:104
1014,No candidate mentioned,yes,1,Neutral,1,None of the above,RBrianGass,0,Who faces the most pressure coming out of the #GOPDebate? I'd say @CNN who hosts the next debate. http://t.co/tfuew8uGPs,"Nashville, TN",Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:105
1015,,yes,0.6517,Negative,0.6517,,TrumpIssues,0,"@JebBush and @HillaryClinton can have pretty much the same donors, but let's make a big deal because Trump said ""fat pig."" #GOPDebate #PC",United States Of America,Pacific Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:106
1016,No candidate mentioned,yes,1,Negative,1,None of the above,kinghasler54,2,RT @TKrypt_: MOTIVE: These guys REALLY REALLY want to get elected so they can get their hands on this kind of money #GOPDebate http://t.co/๏ฟฝ,Anonymous,,,,,,,,,,,,,,8/27/2021 9:107
1017,No candidate mentioned,yes,1,Neutral,1,None of the above,Norseman1942,371,RT @JimSterling: The #GOPDebate still rages on... http://t.co/X791Idd7Lx,,,,,,,,,,,,,,,8/27/2021 9:108
1018,No candidate mentioned,yes,0.6737,Neutral,0.3579,None of the above,myrlciakvvx,0,RT kayleymelissa: #GOPDebate is like the trial from The Unbreakable Kimmy Schmidt and Dona๏ฟฝ๏ฟฝ๏ฟฝ http://t.co/jAqjwnndgB http://t.co/4Wbl,,,,,,,,,,,,,,,8/27/2021 9:109
1019,Donald Trump,yes,1,Negative,0.6818,None of the above,mchamric,2,RT ๏ฟฝ๏ฟฝ๏ฟฝ@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8,,,,,,,,,,,,,,,8/27/2021 9:110
1020,No candidate mentioned,yes,1,Neutral,1,None of the above,WallSarawall38,12,RT @amysmith70: .@CarlyFiorina Shows How to Push Back Against Matthews on @Hardball #msnbc #mediabias #GOPDebate  http://t.co/dXxIhajzg9,"South Carolina, USA",,,,,,,,,,,,,,8/27/2021 9:111
1021,No candidate mentioned,yes,1,Negative,0.6778,None of the above,theChrzanOne,0,I would love 2 see a debate where there are fact checkers &amp; if u make like 5 false statements u are disqualified from the debate #GOPDebate,"Detroit, Michigan",Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:112
1022,Mike Huckabee,yes,1,Neutral,1,None of the above,AnnaKarinMajer,76,"RT @GovMikeHuckabee: Without a secure border, nothing matters --&gt; http://t.co/9da0D98KdW #ImWithHuck #GOPDebate http://t.co/9iTfSTTJRk",,,,,,,,,,,,,,,8/27/2021 9:113
1023,,yes,0.6292,Negative,0.3371,FOX News or Moderators,Viacom78,1,"RT @dominionIN: Blimey! #GOPDebate #Foxnews 
@FoxNews @piersmorgan http://t.co/GtXRtJ8yBN",,,,,,,,,,,,,,,8/27/2021 9:114
1024,No candidate mentioned,yes,0.6629,Negative,0.6629,None of the above,_nif50,0,So I've watched #GOPDebate (pl don't judge me) for some education &amp; stuff (prez debates are class tbh - Romney in prev yr). Disappointing.,,New Delhi,,,,,,,,,,,,,8/27/2021 9:115
1025,No candidate mentioned,yes,1,Negative,0.6774,None of the above,Mama_Jones2013,2,"RT @bmangh: #GOPDebate was like #JackNicholson driving his fellow patients around in ""One Flew Over the Cuckoos Nest."" http://t.co/lRpXQgx4๏ฟฝ",Texas,,,,,,,,,,,,,,8/27/2021 9:116
1026,No candidate mentioned,yes,1,Neutral,1,None of the above,ctmock,0,#factcheck of first #GOPDebate #GOP @washingtonpost http://t.co/kUBanAt83E,"Chicago, IL ",,,,,,,,,,,,,,8/27/2021 9:117
1027,No candidate mentioned,yes,1,Negative,1,None of the above,sunilkajaria,7,"RT @lizadonnelly: Visually, the #GOPDebate could have used more dancing, IMHO. My cartoon roundup in tweet drawing!! https://t.co/SJiZ8A2ZUf",Kolkata,New Delhi,,,,,,,,,,,,,8/27/2021 9:118
1028,No candidate mentioned,yes,0.6277,Negative,0.6277,Foreign Policy,DonQuixote1950,398,RT @JohnFugelsang: Lindsey Graham has never met a war he's afraid to send your kids to.  #gopdebate,"The Villages, FL.",Atlantic Time (Canada),,,,,,,,,,,,,8/27/2021 9:119
1029,Donald Trump,yes,1,Negative,1,None of the above,sharynbovat,0,When @realDonaldTrump hears what iSaid about him during TV interview on #gopdebate he'll call me a dog...Ruff ruff๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ http://t.co/py,Washington DC,Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:120
1030,No candidate mentioned,yes,0.6593,Negative,0.6593,None of the above,ZDriven,19,"RT @TXDemParty: If you agree that none of these guys should ever be president, add your name ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ http://t.co/o7oSxwKQ98 #GOPDebate ",,,,,,,,,,,,,,,8/27/2021 9:121
1031,Scott Walker,yes,1,Positive,1,None of the above,ScottWalker,26,Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfFBJmvx8,"Wauwatosa, WI",Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:122
1032,No candidate mentioned,yes,1,Positive,1,None of the above,lawrenxe17,0,People really need to do their research on Carly Fiorina. She was extremely impressive in the #GOPDebate yesterday. @CarlyFiorina,,Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:123
1033,No candidate mentioned,yes,0.6548,Negative,0.6548,FOX News or Moderators,Samstwitch,11,RT @Nottinghams1: #GOPDebate #MegynKelly is a media whore,"Fort Worth, Texas",Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:124
1034,No candidate mentioned,yes,0.6458,Negative,0.6458,FOX News or Moderators,smoothblink_fly,1,"RT @el_deego: Hey @FoxNews, why wasn't #DeflateGate a bigger talking point last night? Makes me think the whole debate was a sham. #GOPDeba๏ฟฝ","Michigan, USA",,,,,,,,,,,,,,8/27/2021 9:125
1035,No candidate mentioned,yes,1,Negative,1,None of the above,ceye,0,Not much fact checking of the #GOPDebate because we have just accepted that Republicans will lie about everything. #PostTruthSociety,Alabama,Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:126
1036,No candidate mentioned,yes,0.6632,Neutral,0.6632,FOX News or Moderators,mancunianmedic,0,"Fox News clearly have a hair, dress and complexion code for the presenters. As for #GOPDebate, talk about middle aged men in suits!....",Berks/London,,,,,,,,,,,,,,8/27/2021 9:127
1037,Ted Cruz,yes,1,Neutral,0.3531,None of the above,ibermarino,131,"RT @WayneDupreeShow: From earlier tonight on FB from @MarkLevinShow

#GOPDebate http://t.co/ilnovJU2a9",MIAMI FLORIDA USA,,,,,,,,,,,,,,8/27/2021 9:128
1038,Donald Trump,yes,1,Neutral,0.6882,None of the above,Born2RunJosh,25,"RT @DanScavino: #GOPDebate Time:
Trump 11:40
Bush 8:48
Kasich 6:52
Rubio 6:49
Carson 6:46
Cruz 6:46
Huckabee 6:42
Christie 6:24
Walker 5:45๏ฟฝ",,,,,,,,,,,,,,,8/27/2021 9:129
1039,No candidate mentioned,yes,1,Negative,0.6598,None of the above,CindyJackson28,4,RT @cerenomri: I thought we fought the Revolution against the quartering of troops in wartime #GOPDebate,Texas,,,,,,,,,,,,,,8/27/2021 9:130
1040,No candidate mentioned,yes,1,Negative,1,None of the above,AnitaFinlay,8,"RT @TajMagruder: Hillary got 19 mentions at the #GOPDebate and the middle class got 2. Really, what would they talk about if not her?",,Pacific Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:131
1041,No candidate mentioned,yes,1,Negative,1,Abortion,helloatzirysays,51,RT @808s_n_cupcakes: Bruh RT @blowticious: Pro-life Republicans be like #GOPDebate http://t.co/dgu7yJ9IeX,AL,Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:132
1042,Jeb Bush,yes,1,Negative,1,None of the above,ConnieHair,13,"RT @Shaughn_A: I can think of at least 1 person @CarlyFiorina shld've replaces. Was @JebBush even on the #GOPDebate stage? ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ

#tcot ht","Washington, D.C.",Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:133
1043,No candidate mentioned,yes,1,Negative,0.6733,None of the above,KellySarka,1,RT @jonesmarkh: Friendly reminder that a focus group is not a poll #GOPDebate  https://t.co/MheK8YWGLH,,,,,,,,,,,,,,,8/27/2021 9:134
1044,No candidate mentioned,yes,1,Negative,0.6848,None of the above,rebeccakimberly,0,And then there was the moment things got really weird... #GOPDebate http://t.co/fCo3kzPVQE,"Chicago, IL",Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:135
1045,Donald Trump,yes,0.6067,Negative,0.6067,,pondlizard,0,.@realDonaldTrump Shares Post Calling Megyn Kelly a 'Bimbo' Following Republican Debate | MRCTV http://t.co/ZaII5AQsii ๏ฟฝ๏ฟฝ๏ฟฝ #GOP,God's Country N Central FL ,Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:136
1046,,yes,0.6458,Negative,0.3333,None of the above,EscapeVelo,231,RT @seanhannity: .@tedcruz: ๏ฟฝ๏ฟฝ๏ฟฝI think the real divide is whether we๏ฟฝ๏ฟฝ๏ฟฝre going to have Republicans that actually do what we said we wou,Twitter,,,,,,,,,,,,,,8/27/2021 9:137
1047,No candidate mentioned,yes,1,Negative,0.6444,None of the above,Birchbark_Canoe,0,"rather than #FactCheck the #GOPDebate ,  much easier just to tell us if they got anything right? @UniteBlueCA  https://t.co/ze7eYwPBMP",photos are mine unless noted,Quito,,,,,,,,,,,,,8/27/2021 9:138
1048,No candidate mentioned,yes,1,Neutral,0.6813,Religion,DeityFree,12,"RT @MrPolyatheist: Because you know, god is real but climate change isn't. #GOPDebate  https://t.co/JmM8vRNKtM",,Pacific Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:139
1049,No candidate mentioned,yes,0.6499,Neutral,0.6499,None of the above,SocialMediaNAUC,0,The First #GOPDebate: Social Media Reaction and More http://t.co/161DKWBOef #SocialMedia | https://t.co/b3UmOSiq3S,Estado de M๏ฟฝ๏ฟฝ,Mexico City,,,,,,,,,,,,,8/27/2021 9:140
1050,Ben Carson,yes,1,Negative,1,None of the above,SeaBassThePhish,0,I feel like they are just throwing Carson scraps. Ask him real questions find out what his policies are #GOPDebate,,Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:141
1051,No candidate mentioned,yes,1,Neutral,1,Religion,robertpjones,0,"RT @publicreligion: Say belief in God impt to being ""truly"" American:
69% All US
81% Reps
63% Dems
http://t.co/H50HGNvzLL 
#GOPDebate","Washington, DC",Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:142
1052,Marco Rubio,yes,0.6786,Negative,0.6786,None of the above,MaxCUA,0,"@NRO = jed + rubio 
(no thanks) 

@AlexConant @marcorubio #gopdebate","washington, dc",Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:143
1053,No candidate mentioned,yes,0.6566,Negative,0.6566,,Amis_Qui,244,"RT @IamGMJohnson: ""I listen to the American People"" (As long as they are not immigrants, blacks, latinos, lgbtq and women) #GOPDebate #kkko๏ฟฝ",��� Chi,Central Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:144
1054,Donald Trump,yes,1,Positive,0.7154,None of the above,Born2RunJosh,60,RT @DanScavino: #FoxNews #SanDiego - @realDonaldTrump clearly won the #GOPDebate. cc; @megynkelly @BretBaier http://t.co/Wvr3QHAmrH,,,,,,,,,,,,,,,8/27/2021 9:145
1055,No candidate mentioned,yes,1,Negative,0.6196,None of the above,PhillipsTaylorR,1,"RT @maureenjohnson: I guess the lesson is: if you watch the #GOPDebate, be prepared to pay the price.",,Eastern Time (US & Canada),,,,,,,,,,,,,8/27/2021 9:146
